id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,tweet_en,neutral,positive,negative,sentiment
1476180878971879429,2021-12-29 13:18:42+00:00,1476180878971879429,Spridningen av covid-19 har fortsatt att öka. https://t.co/GwY7owe58K,11,32,122,6,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2021/december/fortsatt-okad-smittspridning/,sv,False,,Folkhalsomynd,The spread of covid-19 has continued to increase. https://t.co/GwY7owe58K,0.680694,0.310907,0.008398,neutral
1474003848285102089,2021-12-23 13:07:57+00:00,1474003848285102089,"Folkhälsomyndighetens nya föreskrifter om resor börjar gälla från och med den 28 december 2021. För inresor till Sverige för utländska medborgare krävs bland annat ett negativt covidtest.

https://t.co/PYJtGRbUnV",6,23,65,2,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2021/december/nya-foreskrifter-om-resor-fran-28-december/,sv,False,,Folkhalsomynd,"The Swedish Public Health Agency's new travel regulations will apply from 28 December 2021. For admissions to Sweden for foreign citizens, a negative covidtest is required. https://t.co/PYJtGRbUnV",0.703897,0.033252,0.262851,neutral
1473282831837184001,2021-12-21 13:22:54+00:00,1473282831837184001,Flera nya åtgärder vidtas den 23 december när smittspridningen väntas öka  https://t.co/RwlnjaYM32,16,36,121,11,https://bit.ly/3Fj21zS,sv,False,,Folkhalsomynd,Several new measures will be taken on 23 December when the spread of infection is expected to increase https://t.co/RwlnjaYM32,0.63268,0.043319,0.324,neutral
1473251855887216642,2021-12-21 11:19:48+00:00,1473251855887216642,Anmälan till Nordiska folkhälsokonferensen 2022 på Island är öppen. Huvudtemat för konferensen är hälsa och välfärd – på väg mot framtiden. Sista dag att skicka in abstract är 12 januari. Läs mer och anmäl dig här: https://t.co/nkf25XsEfK,2,7,5,2,https://www.folkhalsomyndigheten.se/konferens-och-utbildning/220628-nordiska-folkhalsokonferensen-2022/,sv,False,,Folkhalsomynd,Registration for the Nordic Public Health Conference 2022 in Iceland is open. The main theme of the conference is health and well-being – on the way to the future. The last day to submit abstract is January 12th. Read more and register here: https://t.co/nkf25XsEfK,0.733168,0.259545,0.007287,neutral
1473246923125673986,2021-12-21 11:00:12+00:00,1473246923125673986,Barn inom särskilda grupper 5-11 år rekommenderas vaccin mot covid-19 https://t.co/c53RmftNz3,6,32,88,10,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2021/december/barn-inom-sarskilda-grupper-511-ar-rekommenderas-vaccin-mot-covid-19/,sv,False,,Folkhalsomynd,Children in special groups 5-11 years of age are recommended to receive covid-19 vaccine https://t.co/c53RmftNz3,0.833985,0.133207,0.032808,neutral
1472846963532091394,2021-12-20 08:30:54+00:00,1472846963532091394,Analys visar möjliga hälsoeffekter på grund av klimatförändringen  https://t.co/Gcel9wh5SN,7,25,123,20,https://bit.ly/3yGCRsg,sv,False,,Folkhalsomynd,Analysis shows possible health effects due to climate change https://t.co/Gcel9wh5SN,0.46087,0.016885,0.522245,negative
1471754510884392962,2021-12-17 08:09:53+00:00,1471754510884392962,"Hög andel med antikroppar mot SARS-CoV-2 bland personer födda 1944
https://t.co/NLzF9dkmT8",9,48,29,3,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2021/december/hog-andel-med-antikroppar-mot-sars-cov-2-bland-personer-fodda-1944/,sv,False,,Folkhalsomynd,High percentage of antibodies to SARS-CoV-2 among people born 1944 https://t.co/NLzF9dkmT8,0.695661,0.028713,0.275626,neutral
1471410062170238979,2021-12-16 09:21:10+00:00,1471410062170238979,Skärpta krav vid inresa till Sverige https://t.co/arFmx8gXDv,4,26,37,5,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2021/december/skarpta-krav-vid-inresa-till-sverige/,sv,False,,Folkhalsomynd,Enhanced entry requirements in Sweden https://t.co/arFmx8gXDv,0.87035,0.082926,0.046725,neutral
1471390129403084805,2021-12-16 08:01:58+00:00,1471390129403084805,"Viktigt öka kunskapen om suicid bland barn
https://t.co/u8ckUWcEJi",4,18,24,0,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2021/december/viktigt-oka-kunskapen-om-suicid-bland-barn/,sv,False,,Folkhalsomynd,Important to increase awareness of suicide among children https://t.co/u8ckUWcEJi,0.667765,0.121712,0.210522,neutral
1469297810818445320,2021-12-10 13:27:50+00:00,1469297810818445320,Säsongens influensaepidemi igång - hög tid för personer i riskgrupp att vaccinera sig https://t.co/GjSZgGmKQT,9,32,40,3,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2021/december/sasongens-influensaepidemi-igang--hog-tid-for-personer-i-riskgrupp-att-vaccinera-sig/,sv,False,,Folkhalsomynd,Start of season influenza epidemic - high time for people at risk to vaccinate https://t.co/GjSZgGmKQT,0.486954,0.049151,0.463896,neutral
1468928989414805505,2021-12-09 13:02:17+00:00,1468928989414805505,"Nya tillfälliga datum för de myndighetsgemensamma pressträffarna under julhelgerna
https://t.co/2AVpHIvmq3",5,9,30,0,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2021/december/nya-tillfalliga-datum-for-de-myndighetsgemensamma-presstraffarna-under-julhelgerna/,sv,False,,Folkhalsomynd,New ad hoc dates for joint public press meetings during Christmas holidays https://t.co/2AVpHIvmq3,0.918725,0.071895,0.009379,neutral
1468244909559894024,2021-12-07 15:43:59+00:00,1468244909559894024,Nya åtgärder för att begränsa spridning av covid-19 https://t.co/AtgmE0OUSa,13,42,167,9,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2021/december/nya-atgarder-for-att-begransa-spridning-av-covid-19/,sv,False,,Folkhalsomynd,New measures to limit the dissemination of covid-19 https://t.co/AtgmE0OUSa,0.772043,0.023703,0.204254,neutral
