id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,tweet_en,negative,neutral,positive,sentiment
1476960232530132998,2021-12-31 16:55:34+00:00,1476960232530132998,RT @NHSEngland: Find out which pharmacies are open near you over the New Year — so you can get the medicines and advice you need. 💊 https:/…,32,0,0,0,,en,False,,UKHSA,RT @NHSEngland: Find out which pharmacies are open near you over the New Year — so you can get the medicines and advice you need. 💊 https:/…,0.52347,0.404092,0.072438,negative
1476947159375396864,2021-12-31 16:03:37+00:00,1476947159375396864,"The #COVID19 Dashboard has been updated: https://t.co/XhspoyTG79 

On 31 December 189,846 new cases and 203 deaths in 28 days of a positive test were reported in the UK. 

Our data includes the number of people receiving a first, second and booster dose of the #vaccine https://t.co/8Kdbppd9ik",92,138,50,19,http://coronavirus.data.gov.uk,en,False,,UKHSA,"The #COVID19 Dashboard has been updated: https://t.co/XhspoyTG79 

On 31 December 189,846 new cases and 203 deaths in 28 days of a positive test were reported in the UK. 

Our data includes the number of people receiving a first, second and booster dose of the #vaccine https://t.co/8Kdbppd9ik",0.52347,0.404092,0.072438,negative
1476934761000095744,2021-12-31 15:14:21+00:00,1476934761000095744,"Plans for #NYE? Read our blog for more on what you can do to stay safe and protect yourself and loved ones: https://t.co/wjG4J5b28W
#COVID19 #StaySafe #NewYear https://t.co/QPz4aGj7A1",13,14,13,1,https://ukhsa.blog.gov.uk/2021/12/22/staying-safe-over-the-festive-period-2/,en,False,,UKHSA,"Plans for #NYE? Read our blog for more on what you can do to stay safe and protect yourself and loved ones: https://t.co/wjG4J5b28W
#COVID19 #StaySafe #NewYear https://t.co/QPz4aGj7A1",0.52347,0.404092,0.072438,negative
1476924810374565889,2021-12-31 14:34:49+00:00,1476924810374565889,Our new variant technical briefing contains updated analysis on Omicron hospitalisation risk and vaccine efficacy against symptomatic disease and hospitalisation: https://t.co/254m2rwJN5,105,160,22,22,https://www.gov.uk/government/news/covid-19-variants-identified-in-the-uk,en,False,,UKHSA,Our new variant technical briefing contains updated analysis on Omicron hospitalisation risk and vaccine efficacy against symptomatic disease and hospitalisation: https://t.co/254m2rwJN5,0.52347,0.404092,0.072438,negative
1476918692273430544,2021-12-31 14:10:30+00:00,1476918685747003399,A further breakdown of confirmed Omicron cases by nation and region will be published in the daily Omicron overview today: https://t.co/O8GfarKvCu,8,17,3,1,https://www.gov.uk/government/publications/covid-19-omicron-daily-overview,en,False,41822696.0,UKHSA,A further breakdown of confirmed Omicron cases by nation and region will be published in the daily Omicron overview today: https://t.co/O8GfarKvCu,0.52347,0.404092,0.072438,negative
1476918689974951946,2021-12-31 14:10:30+00:00,1476918685747003399,"This will be the last daily #OmicronVariant overview reported. As data has shown that Omicron cases now constitute more than 90% of all community COVID-19 cases in England, our daily dashboard will provide the most updated info on COVID-19 case figures.",10,32,5,3,,en,False,41822696.0,UKHSA,"This will be the last daily #OmicronVariant overview reported. As data has shown that Omicron cases now constitute more than 90% of all community COVID-19 cases in England, our daily dashboard will provide the most updated info on COVID-19 case figures.",0.52347,0.404092,0.072438,negative
1476918688196481026,2021-12-31 14:10:29+00:00,1476918685747003399,"Please note: Scotland no longer separates Omicron cases from other COVID-19 cases in daily reports, and will update Omicron numbers weekly.",7,13,1,0,,en,False,41822696.0,UKHSA,"Please note: Scotland no longer separates Omicron cases from other COVID-19 cases in daily reports, and will update Omicron numbers weekly.",0.52347,0.404092,0.072438,negative
1476918685747003399,2021-12-31 14:10:29+00:00,1476918685747003399,"#OmicronVariant latest information 

17,114 additional confirmed cases of the #Omicron variant of COVID-19 have been reported across the UK. 

Confirmed Omicron cases in the UK now total 246,780. https://t.co/u8wqrzBduu",48,68,13,9,https://twitter.com/UKHSA/status/1476918685747003399/photo/1,en,False,,UKHSA,"#OmicronVariant latest information 

17,114 additional confirmed cases of the #Omicron variant of COVID-19 have been reported across the UK. 

Confirmed Omicron cases in the UK now total 246,780. https://t.co/u8wqrzBduu",0.52347,0.404092,0.072438,negative
1476903472364666880,2021-12-31 13:10:02+00:00,1476903472364666880,"RT @NHSEngland: Over three quarters of all eligible adults have now had their COVID-19 booster vaccine.
 
Thank you to our NHS colleagues a…",57,0,0,0,,en,False,,UKHSA,"RT @NHSEngland: Over three quarters of all eligible adults have now had their COVID-19 booster vaccine.
 
Thank you to our NHS colleagues a…",0.52347,0.404092,0.072438,negative
1476878303810174993,2021-12-31 11:30:01+00:00,1476878303810174993,"ICYMI: Over the festive period, PCR testing sites will be operating different hours for Christmas Day, Boxing Day and New Year’s Day. Find full details of opening hours: https://t.co/GbRiF1kh8C https://t.co/xkNA3a2Hm7",13,16,9,0,https://www.gov.uk/government/news/test-and-trace-services-continue-over-the-festive-period,en,False,,UKHSA,"ICYMI: Over the festive period, PCR testing sites will be operating different hours for Christmas Day, Boxing Day and New Year’s Day. Find full details of opening hours: https://t.co/GbRiF1kh8C https://t.co/xkNA3a2Hm7",0.52347,0.404092,0.072438,negative
