id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,tweet_en,positive,neutral,negative,sentiment
1477026122990858245,2021-12-31 21:17:24+00:00,1477026122990858245,"RT @drfahrettinkoca: YENİ YILLA GELEN İLK GÜZELLİK!
Doğan ilk bebeğin ailesini sizler adına kutluyoruz. Allah analı babalı büyütsün. https:…",328,0,0,0,,tr,False,,saglikbakanligi,RT @drfahrettin husband: FIRST BEAUTY NEW YEAR! We celebrate on behalf of you the family of the first baby born. May God raise parents. https:...,0.985279,0.013637,0.001084,positive
1477026108314955780,2021-12-31 21:17:20+00:00,1477026108314955780,"RT @drfahrettinkoca: “İstanbul Anadolu 112 Komuta Merkezinden tüm istasyonlara! Evinde yeni yılı kutlayan, acilde, nöbette görevi başında o…",269,0,0,0,,tr,False,,saglikbakanligi,RT @drfahrettin husband: from Istanbul Anadolu 112 Command Center to all stations!,0.062119,0.892855,0.045025,neutral
1476989030298497026,2021-12-31 18:50:00+00:00,1476989030298497026,"Yeni yılda sağlıklı yaşam alışkanlıkları edinin, sağlığınızı koruyun. #Yılbaşı https://t.co/dPk7tWkJfP",95,382,28,1,https://twitter.com/saglikbakanligi/status/1476989030298497026/photo/1,tr,False,,saglikbakanligi,"Get healthy living habits in the new year, keep your health. #Yearhead https://t.co/dPk7tWkJfp",0.847146,0.150073,0.002781,positive
1476978652617318402,2021-12-31 18:08:46+00:00,1476978652617318402,RT @drfahrettinkoca: Zor bir yıldı. Elimizden geldiğince kolaylaştırmaya çalıştık. 2022’de daha fazla çalışmaya hazırız. Yeter ki sağlık ve…,424,0,0,0,,tr,False,,saglikbakanligi,RT @drfahrettintin husband: It was a difficult year. We tried to make it as easy as we could. We're ready to work more at 2022. As long as there's health and...,0.567562,0.392285,0.040153,positive
1476959730564218895,2021-12-31 16:53:35+00:00,1476959730564218895,"RT @drfahrettinkoca: YILBAŞI UYARISI! Kısıtlama söz konusu olmasa da, varmış gibi davranmanızı öneriyoruz. Riskin arttığı bir dönemdeyiz. K…",641,0,0,0,,tr,False,,saglikbakanligi,"RT @drfahrettin's husband: YEAR'S WARNING! We suggest that you act as if there is, even though there is no limit. We are at an increased risk.",0.019521,0.325678,0.654801,negative
1476953118017527809,2021-12-31 16:27:18+00:00,1476953118017527809,"RT @drfahrettinkoca: İstanbul’da durumu yerinde değerlendirmek üzere tüm başhekimlerimizle toplantı gerçekleştirdik. Alınacak tedbirleri, h…",240,0,0,0,,tr,False,,saglikbakanligi,RT @drfahrettin husband: We held a meeting with all our chief physicians in Istanbul to assess the situation in place.,0.034087,0.937107,0.028806,neutral
1476951270170767362,2021-12-31 16:19:57+00:00,1476951270170767362,"RT @drfahrettinkoca: Unutmayın, virüs mutasyona uğrasa da tedbirler değişmiyor. Kişisel tedbirler bugün dünden daha önemli bir duruma geldi…",484,0,0,0,,tr,False,,saglikbakanligi,"RT @drfahrettin husband: Remember, even though the virus mutates, the measures do not change. Personal measures have become more important today than yesterday.",0.153667,0.665873,0.18046,neutral
1476951252722462721,2021-12-31 16:19:53+00:00,1476951252722462721,"RT @drfahrettinkoca: Daha önce görülen vakaların %22,4’ü İstanbul’da idi. Son 10 günde ise vakaların %52,3’ü İstanbul kaynaklı. Bu durum ya…",455,0,0,0,,tr,False,,saglikbakanligi,"RT @drfahrettin husband: 22.4% of previous cases were in Istanbul. In the last 10 days, 52.3% of cases are from Istanbul.",0.044433,0.721395,0.234172,neutral
1476951232585555977,2021-12-31 16:19:48+00:00,1476951232585555977,"RT @drfahrettinkoca: 10 günde vaka sayıları ülke genelinde iki katına çıkmış olmasına rağmen hastaneye yatışlarda %4,6 artış yaşanmıştır. S…",304,0,0,0,,tr,False,,saglikbakanligi,"RT @drfahrettin husband: Although the number of cases has doubled across the country in 10 days, there has been a 4.6% increase in hospital stays.",0.049905,0.588508,0.361587,neutral
1476948856516616199,2021-12-31 16:10:22+00:00,1476948856516616199,RT @drfahrettinkoca: Ülkemizde baskın hale gelen Omicron varyantı son 10 gün nasıl etki etti? Omicrona karşı ne yapmalı? https://t.co/WFhOC…,533,0,0,0,,tr,False,,saglikbakanligi,RT @drfahrettin husband: How did Omicron influence the dominant variant in our country for the last 10 days? What should he do against Omicrona? https://t.co/WFhoc...,0.018301,0.773491,0.208208,neutral
