id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,tweet_en,neutral,positive,negative,sentiment
1476833180745355265,2021-12-31 08:30:43+00:00,1476833180745355265,"2022 is almost upon us. Whatever the challenges that lie ahead in the coming weeks and months, our position today is incomparably better than last year.

Make it your New Year’s resolution to get your jabs and do something that will make 2022 a happy New Year for us all. https://t.co/G5Y97OfI9U",951,4886,7480,902,https://twitter.com/BorisJohnson/status/1476833180745355265/video/1,en,False,,BorisJohnson,"2022 is almost upon us. Whatever the challenges that lie ahead in the coming weeks and months, our position today is incomparably better than last year.

Make it your New Year’s resolution to get your jabs and do something that will make 2022 a happy New Year for us all. https://t.co/G5Y97OfI9U",0.572612,0.328708,0.09868,neutral
1476227776986365952,2021-12-29 16:25:03+00:00,1476227776986365952,"Getting the booster is absolutely crucial in protecting yourself and your loved ones against Omicron.

Get boosted now. https://t.co/imHsOpMovf",427,2060,2561,170,https://twitter.com/BorisJohnson/status/1476227776986365952/video/1,en,False,,BorisJohnson,"Getting the booster is absolutely crucial in protecting yourself and your loved ones against Omicron.

Get boosted now. https://t.co/imHsOpMovf",0.572612,0.328708,0.09868,neutral
1475551619106418695,2021-12-27 19:38:15+00:00,1475551613343485953,"However, I would urge everyone to continue to act cautiously given the rising number of Omicron cases. 

Most importantly I urge everyone to get their first, second or booster jab without delay to protect yourselves and your loved ones. 2/2

https://t.co/HFdDcrX3l4",280,1947,1013,57,https://www.nhs.uk/conditions/coronavirus-covid-19/coronavirus-vaccination/book-coronavirus-vaccination/,en,False,3131144855.0,BorisJohnson,"However, I would urge everyone to continue to act cautiously given the rising number of Omicron cases. 

Most importantly I urge everyone to get their first, second or booster jab without delay to protect yourselves and your loved ones. 2/2

https://t.co/HFdDcrX3l4",0.572612,0.328708,0.09868,neutral
1475551613343485953,2021-12-27 19:38:13+00:00,1475551613343485953,"We will continue to monitor the data carefully, but there will be no new restrictions introduced in England before the New Year.  1/2",1072,8973,3698,514,,en,False,,BorisJohnson,"We will continue to monitor the data carefully, but there will be no new restrictions introduced in England before the New Year.  1/2",0.572612,0.328708,0.09868,neutral
1475464372789121031,2021-12-27 13:51:33+00:00,1475464372789121031,"There are over 1.5 million vaccination slots available to book in England in the coming days. 

We know two jabs don’t give you enough protection against Omicron so whether it's your first, second or booster jab I urge you to book an appointment now. 

#GetBoostedNow",486,2865,2814,255,,en,False,,BorisJohnson,"There are over 1.5 million vaccination slots available to book in England in the coming days. 

We know two jabs don’t give you enough protection against Omicron so whether it's your first, second or booster jab I urge you to book an appointment now. 

#GetBoostedNow",0.572612,0.328708,0.09868,neutral
1475048780902944770,2021-12-26 10:20:09+00:00,1475048780902944770,"I am deeply saddened to hear of the death of Archbishop Desmond Tutu. 

He was a critical figure in the fight against apartheid and in the struggle to create a new South Africa - and will be remembered for his spiritual leadership and irrepressible good humour.",814,6317,2229,326,,en,False,,BorisJohnson,"I am deeply saddened to hear of the death of Archbishop Desmond Tutu. 

He was a critical figure in the fight against apartheid and in the struggle to create a new South Africa - and will be remembered for his spiritual leadership and irrepressible good humour.",0.572612,0.328708,0.09868,neutral
1474769226560950279,2021-12-25 15:49:18+00:00,1474769226560950279,"RT @RoyalFamily: “And for me and my family, even with one familiar laugh missing this year, there will be joy in Christmas, as we have the…",8308,0,0,0,,en,False,,BorisJohnson,"RT @RoyalFamily: “And for me and my family, even with one familiar laugh missing this year, there will be joy in Christmas, as we have the…",0.572612,0.328708,0.09868,neutral
1474288744094183428,2021-12-24 08:00:02+00:00,1474288744094183428,I would like to wish you all a very Merry Christmas. https://t.co/xRSgirIVqa,948,6556,4368,550,https://twitter.com/BorisJohnson/status/1474288744094183428/video/1,en,False,,BorisJohnson,I would like to wish you all a very Merry Christmas. https://t.co/xRSgirIVqa,0.572612,0.328708,0.09868,neutral
1474049796541460488,2021-12-23 16:10:32+00:00,1474049796541460488,"Football clubs are the heart of our communities, so I pay tribute to @buryfcofficial fans and @JamesDalyMP who have shown great resolve to bring their beloved club back to life.

By helping to rescue Gigg Lane stadium, they are putting the club’s future back in the hands of fans. https://t.co/EOBvYz1TnM",190,1105,436,89,https://twitter.com/luhc/status/1474008923309027333,en,False,,BorisJohnson,"Football clubs are the heart of our communities, so I pay tribute to @buryfcofficial fans and @JamesDalyMP who have shown great resolve to bring their beloved club back to life.

By helping to rescue Gigg Lane stadium, they are putting the club’s future back in the hands of fans. https://t.co/EOBvYz1TnM",0.572612,0.328708,0.09868,neutral
1474033073180319755,2021-12-23 15:04:05+00:00,1474033073180319755,"Thank you to everyone across the country involved in our national testing mission.

We have the largest testing capacity in Europe, and last week over 70 million lateral flow tests were dispatched.

Only through testing can we fundamentally track infections &amp; understand COVID-19. https://t.co/uANm6ILtZ5",335,1995,1926,194,https://twitter.com/BorisJohnson/status/1474033073180319755/video/1,en,False,,BorisJohnson,"Thank you to everyone across the country involved in our national testing mission.

We have the largest testing capacity in Europe, and last week over 70 million lateral flow tests were dispatched.

Only through testing can we fundamentally track infections &amp; understand COVID-19. https://t.co/uANm6ILtZ5",0.572612,0.328708,0.09868,neutral
