id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,tweet_en,positive,neutral,negative,sentiment
1476912685841358887,2021-12-31 13:46:38+00:00,1476912685841358887,"As we bid farewell to a year full of achievements for the UAE, we welcome 2022 with confidence of the best to come.

Happy New Year to you, your families and your countries . 

May the New Year 2022 bring peace and prosperity to humanity.",537,2336,348,24,,en,False,,HHShkMohd,"As we bid farewell to a year full of achievements for the UAE, we welcome 2022 with confidence of the best to come.

Happy New Year to you, your families and your countries . 

May the New Year 2022 bring peace and prosperity to humanity.",0.979615,0.019471,0.000914,positive
1476903080075665411,2021-12-31 13:08:28+00:00,1476903080075665411,"مع انقضاء عام ملىء بالخير والإنجازات على دولة الإمارات … نستقبل العام الجديد ٢٠٢٢ 
بتفاؤل وثقة وإعداد واستعداد للأفضل … 
كل عام وأنتم بخير .. كل عام وأسركم بخير .. كل عام وأوطاننا وأوطانكم في خير وأمن وأمان واستقرار وازدهار .. عام خير وبركة على البشرية بإذن الله ..",1596,5156,533,35,,ar,False,,HHShkMohd,"With the passing of a year full of good and good achievements on the part of the United Arab Emirates, we will receive the new year 2020 with optimism, confidence, preparation and readiness for the best each year, and you will be well each year and your families will be well. Every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, every year, and every year, every year, every year, every year, every year, every year,",0.883026,0.114417,0.002557,positive
1474367570841120774,2021-12-24 13:13:15+00:00,1474367570841120774,انتقل إلى رحمة الله اليوم حسين قائد أول ممرض إماراتي .. من أوائل الإماراتيين في مجاله .. رحمه الله وأسكنه فسيح جناته … وطنه لن ينساه .. https://t.co/4HEq0h1OrZ,974,4889,771,39,https://twitter.com/HHShkMohd/status/1474367570841120774/photo/1,ar,False,,HHShkMohd,"He moved to the mercy of God today, Hussein, the chief nurse of Amrati, one of the first Emiratis in his field, God rest him and dwell him in his gardens, his country will not forget him, https://t.co/4Heq0h1OrZ",0.705312,0.287775,0.006914,positive
1473622792864247819,2021-12-22 11:53:47+00:00,1473622792864247819,خلال استقبال الرئيس الأنغولي في إكسبو اليوم، حيث شهدنا توقيع عدد من الاتفاقيات في مجالات الطاقة والنقل والتحول الرقمي .. دولة الإمارات تمثل اليوم عمقاً اقتصادياً مهماً للقارة الأفريقية، والعلاقات معهم حققت تقدماً سريعاً جداً في السنوات الأخيرة .. https://t.co/fB2EK5aleV,495,2073,332,13,https://twitter.com/HHShkMohd/status/1473622792864247819/photo/1,ar,False,,HHShkMohd,"During the reception of the Angolan President in Expo today, we witnessed the signing of a number of agreements in the fields of energy, transport and digital transformation, the United Arab Emirates today represents an important economic depth for the African continent, and relations with them have made very rapid progress in recent years, https://t.co/fB2EK5aleV.",0.904081,0.094394,0.001525,positive
1472528031256358921,2021-12-19 11:23:35+00:00,1472528031256358921,كما شهدت أيضاً ضمن القمة التوقيع على إعلان الإمارات للغة العربية رفقة وزراء الثقافة العرب ووقعت معهم عليه .. نعلن من خلاله التزامنا تجاهها لغةً لهويتنا وثقافتنا وعلومنا .. نلتزم بها لغةً للحياة .. https://t.co/wSC8nMHpnl,850,3275,650,26,https://twitter.com/HHShkMohd/status/1472528031256358921/photo/1,ar,False,,HHShkMohd,"The Summit also witnessed the signing of the United Arab Emirates Declaration on the Arabic Language with Arab Ministers of Culture and its signing with them, through which we declare our commitment to it as a language of identity, culture and science, to which we commit ourselves as a language of life, https://t.co/wSC8nMHpnl.",0.303013,0.691171,0.005817,neutral
1472527746404343812,2021-12-19 11:22:27+00:00,1472527746404343812,حضرت اليوم رفقة الأمين العام لجامعة الدول العربية ووزراء الثقافة العرب قمة اللغة العربية في إكسبو دبي والتي تنظمها وزارة الثقافة والشباب بالدولة … اللغة العربية تستحق قمماً كثيرة لأنها قمة في الجمال .. وقمة في الاتساع والشمول .. وقمة في كونها وعاءً للحضارة بكل أبعادها.. https://t.co/xdE65pPRWo,688,2407,232,18,https://twitter.com/HHShkMohd/status/1472527746404343812/photo/1,ar,False,,HHShkMohd,"Today, together with the Secretary-General of the League of Arab States and Arab Ministers of Culture, I attended the Arab language summit in Expo Dubai, organized by the Ministry of Culture and Youth of the State... the Arabic language deserves a lot of summit because it is a summit in beauty, a summit in breadth and inclusiveness... and a summit in being a vessel for civilization in all its dimensions... https://t.co/xdE65pPRWo",0.887756,0.110025,0.002219,positive
1472269364384702464,2021-12-18 18:15:44+00:00,1472269364384702464,"ألف مبروك لمنتخب الجزائر فوزهم المستحق بكأس العرب في مباراة تاريخية جميلة..ومبروك لتونس أداءهم البطولي
ألف مبروك للشقيقة قطر التنظيم المتميز والناجح للبطولة والذي عزز ثقة العالم بقدراتهم استعداداً لكأس العالم في ٢٠٢٢
ألف مبروك لكل العرب اجتماعهم في بطولة جمعت الشعوب وأفرحت الجميع",1825,8625,508,60,,ar,False,,HHShkMohd,"Congratulations to the election of Algeria on their well-deserved victory for the Arab Cup in a beautiful historic match... and to Tunisia on their heroic performance... a thousand congratulations to the sister of Qatar on the outstanding and successful organization of the tournament... which has strengthened the world &apos; s confidence in their ability to prepare for the World Cup in 222,000... congratulations to all Arabs... for meeting in a tournament that brought together peoples and joy to all.",0.983947,0.015045,0.001008,positive
1472126817171652608,2021-12-18 08:49:18+00:00,1472126817171652608,نبارك لأهلنا في قطر قيادة وشعباً يومهم الوطني المجيد  .. ونسأل الله أن يديم عليهم الأمن والأمان والاستقرار والازدهار … تجمعنا مظلة مجلس التعاون .. وتجمعنا الأخوة والنسب… وتجمعنا تطلعات شعوبنا لمستقبل أجمل وأفضل للجميع بإذن الله.,1137,4283,283,27,,ar,False,,HHShkMohd,"We congratulate the leadership and people of Qatar on their glorious national day and ask God to sustain them with security, security, stability and prosperity. We have gathered the umbrella of the Cooperation Council. We have brought together brotherhood and descent. We have brought together the aspirations of our peoples for a better and better future for all, with God &apos; s permission.",0.976594,0.022396,0.001009,positive
1471826482775351299,2021-12-17 12:55:53+00:00,1471826482775351299,"رحم الله أخونا ماجد الفطيم، رجل الأعمال المبدع ، وأحد أهم تجار دبي وكبار رجالاتها … 
وصاحب عطاء للوطن وخير لا ينقطع .. آخر قراراته كان توظيف ٣٠٠٠ مواطن … رحمه الله وأسكنه فسيح جناته وألهم أهله وذويه الصبر والسلوان .. آمين https://t.co/BZKtRrdRds",3371,9900,1457,203,https://twitter.com/HHShkMohd/status/1471826482775351299/photo/1,ar,False,,HHShkMohd,"God rest our brother Majid Al-Fatim, a creative businessman, one of the most important traders and great men in Dubai, a tender nation and an unstoppable good... the last of his decisions was the employment of 3000 citizens... the mercy of God and his inhabitants, the glory of his gardens, the inspiration of his family, his patience and his kindness... amen... https://t.co/BZKtRrdRds...",0.912661,0.083447,0.003892,positive
1471412718305427458,2021-12-16 09:31:44+00:00,1471412718305427458,"نبارك لشعب البحرين الشقيق يومهم الوطني الخمسين .. ونبارك لهم أيضا ذكرى تسلم الملك حمد بن عيسى مقاليد الحكم … 
البحرين قلب وعين  .. 
أدام الله عليهم الخير والعز والأمن والأمان والاستقرار ..",1251,3693,245,21,,ar,False,,HHShkMohd,"We congratulate the brotherly people of Bahrain on their fiftieth national day, and we also congratulate them on the memory of King Hamad bin Isa &apos; s assumption of power... Bahrain &apos; s heart and eye.",0.946411,0.052507,0.001082,positive
