id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,tweet_en,positive,neutral,negative,sentiment
1477005897624809472,2021-12-31 19:57:02+00:00,1477005897624809472,"RT @SaksaDiplo: Olipas vuosi! 🤩 2021 tarjosi lätkää, futista, Slushia ja korkean tason tapaamisia 🇩🇪🤝🇫🇮 -suhteiden vahvistamiseksi. Nyt suu…",13,0,0,0,,fi,False,,MarinSanna,"RT @GermanyDiplo: What a year! . 2021 offered hockey, football, Slush and high-level meetings to strengthen the relationship.",0.919986,0.078014,0.002001,positive
1476842173329035269,2021-12-31 09:06:27+00:00,1476842173329035269,"RT @valtioneuvosto: ""Vad som än händer i vår omvärld kommer Finland och finländarna att klara sig.""

Statsminister @MarinSanna önskar alla…",22,0,0,0,,sv,False,,MarinSanna,"RT @valtioneuvosto: ""Whatever happens in our surrounding world, Finland and the Finns will survive."" Prime Minister @MarinSanna wishes everyone...",0.674714,0.318422,0.006864,positive
1476827051558686723,2021-12-31 08:06:21+00:00,1476827051558686723,"RT @FinGovernment: Prime Minister @MarinSanna wishes everyone a safe and happy new year!

✨Prime Minister's New Year’s message:✨

https://t…",78,0,0,0,,en,False,,MarinSanna,"RT @FinGovernment: Prime Minister @MarinSanna wishes everyone a safe and happy new year!

✨Prime Minister's New Year’s message:✨

https://t…",0.946411,0.052204,0.001386,positive
1476827023624622081,2021-12-31 08:06:15+00:00,1476827023624622081,"RT @valtioneuvosto: ""Mitä tahansa toimintaympäristössämme tapahtuukin, Suomi ja suomalaiset kyllä pärjäävät.""

Pääministeri @MarinSanna toi…",44,0,0,0,,fi,False,,MarinSanna,"RT @State Council: ""Whatever happens in our operating environment, Finland and the Finns will be fine."" Prime Minister @MarinSanna brought...",0.494575,0.491624,0.013801,positive
1474057428358553600,2021-12-23 16:40:52+00:00,1474057428358553600,"RT @yleuutiset: Pääministeri Marinin joulutervehdys: Haluan uskoa, että paremmat ajat ovat edessämme https://t.co/UBXMPegogp",26,0,0,0,https://yle.fi/uutiset/3-12246196,fi,False,,MarinSanna,RT news: Prime Minister Marin’s Christmas greeting: I want to believe that better times are ahead of us https://t.co/UBXMPegogp,0.892078,0.104474,0.003448,positive
1474015495850504197,2021-12-23 13:54:14+00:00,1474015495850504197,"RT @valtioneuvosto: Statsminister @MarinSanna önskar alla en god och fridfull jul!🎄

❄️Statsministerns julhälsning❄️
https://t.co/dqs8gVUoK…",22,0,0,0,,sv,False,,MarinSanna,RT @valtioneuvosto: Prime Minister @MarinSanna wishes everyone a happy and peaceful Christmas!,0.978233,0.020678,0.001089,positive
1474015485104738311,2021-12-23 13:54:12+00:00,1474015485104738311,"RT @valtioneuvosto: Pääministeri @MarinSanna toivottaa rauhallista ja hyvää joulua kaikille!🎄

❄️Pääministerin joulutervehdys❄️
https://t.c…",47,0,0,0,,fi,False,,MarinSanna,RT @State Council: Prime Minister @MarinSanna wishes a peaceful and merry Christmas for everyone!,0.963157,0.035409,0.001434,positive
1473754069105877002,2021-12-22 20:35:25+00:00,1473754069105877002,"RT @miapetrakumpula: Lähes läpsystä vaihto Astudion takahuoneessa. Upean selkeä pääministeri @MarinSanna 👏👏👏
Rauhaisaa joulua! 😍 https://t.…",17,0,0,0,,fi,False,,MarinSanna,RT @miapetrakuppu: Almost a slap in the back room of Astädio. Wonderfully clear Prime Minister @MarinSanna ,0.459858,0.466457,0.073686,neutral
1473754053490274304,2021-12-22 20:35:22+00:00,1473754053490274304,RT @kristolehtonen: Tänään @Yleisradio A-studiossa @miapetrakumpula kanssa digiasiaa ja meitä ennen @MarinSanna korona-asiaa. Lämpiössä kor…,15,0,0,0,,fi,False,,MarinSanna,RT @kristolehtonen: Today @Yleisradio at A-studio @miapetrakumpu with digitality and us before @MarinSanna koona. In the warm house...,0.151937,0.842874,0.00519,neutral
1473717628078374915,2021-12-22 18:10:37+00:00,1473717628078374915,RT @YleAstudio: Pääministeri @MarinSanna vieraana #yleastudio’ssa tuoreista koronarajoituksista. Mikä arjessamme muuttuu ja miksi? @YleTV1…,7,0,0,0,,fi,False,,MarinSanna,RT @YleAstudio: Prime Minister @MarinSanna as a guest at #yleastudio for fresh corona restrictions. What changes in our daily lives and why? @YleTV1...,0.065044,0.873781,0.061174,neutral
