id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,tweet_en,neutral,positive,negative,sentiment
1475431527144169472,2021-12-27 11:41:02+00:00,1475431527144169472,"Here is 'A babe is born', the final in our set of recordings from @ChamberChoirIre's recent performance at Áras an Uachtaráin https://t.co/46mylyIzS4",5,31,2,1,https://m.youtube.com/watch?v=SG86KUh04JQ,en,False,,MichealMartin,"Here is 'A babe is born', the final in our set of recordings from @ChamberChoirIre's recent performance at Áras an Uachtaráin https://t.co/46mylyIzS4",0.875307,0.118709,0.005984,neutral
1475123618812248068,2021-12-26 15:17:31+00:00,1475123618812248068,Statement from President Michael D. Higgins on the death of Archbishop Desmond Tutu https://t.co/05a6bOoAIu,77,321,7,11,https://president.ie/en/media-library/news-releases/statement-by-president-michael-d-higgins-on-the-death-of-archbishop-desmond-tutu,en,False,,MichealMartin,Statement from President Michael D. Higgins on the death of Archbishop Desmond Tutu https://t.co/05a6bOoAIu,0.845986,0.019173,0.134841,neutral
1474675744806735878,2021-12-25 09:37:50+00:00,1474675744806735878,Merry Christmas! https://t.co/8ymreeXbOg,5810,108172,963,1964,https://twitter.com/PresidentIRL/status/1474675744806735878/photo/1,et,False,,MichealMartin,Merry Christmas! https://t.co/8ymreeXbOg,0.037932,0.959026,0.003041,positive
1474319313624612869,2021-12-24 10:01:30+00:00,1474319313624612869,"The Christmas and New Year's Message from President Michael D. Higgins is now available

YouTube: https://t.co/xEIwg9DiUK

Website: https://t.co/q1MOKB2zPS https://t.co/hTJxlAfDjY",147,469,18,24,https://youtu.be/SOHiqKvAEQs,en,False,,MichealMartin,"The Christmas and New Year's Message from President Michael D. Higgins is now available

YouTube: https://t.co/xEIwg9DiUK

Website: https://t.co/q1MOKB2zPS https://t.co/hTJxlAfDjY",0.782747,0.207541,0.009712,neutral
1474318878151000083,2021-12-24 09:59:46+00:00,1474318878151000083,"Tá Teachtaireacht na Nollag agus na hAthbhliana ón Uachtarán Micheál D. Ó hUigínn ar fáil

YouTube: https://t.co/C2owF82Rdk

Suíomh gréasáin: https://t.co/axyO75oTAF https://t.co/6Fgp0P25s2",29,102,1,4,https://youtu.be/gIZusIWXfxs,und,False,,MichealMartin,"Tá Teachtaireacht na Nollag agus na hAthbhliana ón Uachtarán Micheál D. Ó hUigínn ar fáil

YouTube: https://t.co/C2owF82Rdk

Suíomh gréasáin: https://t.co/axyO75oTAF https://t.co/6Fgp0P25s2",0.827219,0.04598,0.126801,neutral
1473940196987215876,2021-12-23 08:55:02+00:00,1473940196987215876,Christmas card sent by President Seán T. Ó Ceallaigh in 1951 https://t.co/vuUuDPBEJA,8,89,4,1,https://twitter.com/PresidentIRL/status/1473940196987215876/photo/1,cy,False,,MichealMartin,Each sent by President of Seánh. Based@S. g.h.net://www.BY.org/B.C.E.org/B.E.,0.903991,0.062647,0.033362,neutral
1473753304559767552,2021-12-22 20:32:23+00:00,1473753304559767552,"Statement by President Higgins on the death of Thomas Kinsella

https://t.co/s9Loh2xjnx https://t.co/nXAF288wFS",104,695,5,10,https://president.ie/en/media-library/news-releases/statement-by-president-michael-d-higgins-on-the-death-of-thomas-kinsella,en,False,,MichealMartin,"Statement by President Higgins on the death of Thomas Kinsella

https://t.co/s9Loh2xjnx https://t.co/nXAF288wFS",0.781857,0.020874,0.197269,neutral
1473680546752520204,2021-12-22 15:43:16+00:00,1473680546752520204,"Today's recording from @ChamberChoirIre is The Deer's Cry, a piece of music which was also performed at President's Higgins' first inauguration in 2011. The final recording from the Choir at Áras an Uachtaráin will be available on Christmas Day https://t.co/LhQ8ZmW4hJ",10,32,2,1,https://www.youtube.com/watch?v=wD9Ss8LGW9Y,en,False,,MichealMartin,"Today's recording from @ChamberChoirIre is The Deer's Cry, a piece of music which was also performed at President's Higgins' first inauguration in 2011. The final recording from the Choir at Áras an Uachtaráin will be available on Christmas Day https://t.co/LhQ8ZmW4hJ",0.914658,0.073681,0.01166,neutral
1473675787832332294,2021-12-22 15:24:22+00:00,1473296819316740099,"The Machnamh 100 eBook is also now available from 
@dubcilib via their BorrowBox platform.",4,9,0,0,,en,False,569892832.0,MichealMartin,"The Machnamh 100 eBook is also now available from 
@dubcilib via their BorrowBox platform.",0.568487,0.429133,0.00238,neutral
1473575293105418241,2021-12-22 08:45:02+00:00,1473575293105418241,"#OnThisDay 1938 President Douglas Hyde broadcast the following Christmas message to the United States 

https://t.co/VPq8VUdeu4",12,36,3,0,https://soundcloud.com/presidentirl/1938-christmas-broadcast-the-united-states-by-president-douglas-hyde-dec-1938,en,False,,MichealMartin,"#OnThisDay 1938 President Douglas Hyde broadcast the following Christmas message to the United States 

https://t.co/VPq8VUdeu4",0.91017,0.067461,0.022369,neutral
