id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,tweet_en,positive,neutral,negative,sentiment
1477022373366874114,2021-12-31 21:02:30+00:00,1477022373366874114,"2021 yılında, özetinin özetini gün boyu paylaştığımız, milletimize kesintisiz hizmet sunacak sayısız eser ve icraate imza attık.

Rabbim nefes, milletimiz destek verdikçe, ülkemize hizmet etmeyi 2022 yılında da sürdüreceğiz. Yeni yılın sağlık, huzur ve refah getirmesi duasıyla… https://t.co/rEHVW5zx56",19980,48757,3541,1011,https://twitter.com/RTErdogan/status/1477022373366874114/photo/1,tr,False,,RTErdogan,"In 2021, we signed the summary of the summary of the summary, countless works and deeds that would serve our nation throughout the day, without interruption. As long as our Lord breath, our nation supports, we will continue to serve our country in 2022. In prayer of the New Year's health, peace and prosperity, https://t.co/REHW5zx56",0.90141,0.096754,0.001836,positive
1477019227647135748,2021-12-31 20:50:00+00:00,1477019227647135748,"Sadece “Geleceğe Nefes” kampanyası ile her vatandaşımız adına üçer adet olmak üzere 252 milyon, toplamda 603 milyon fidanı toprakla buluşturduk. https://t.co/PC8zkzGdNt",11155,31728,691,119,https://twitter.com/RTErdogan/status/1477019227647135748/photo/1,tr,False,,RTErdogan,"We've had 252 million plants met with land, with only the Breathe to the Future campaign and a total of 603 million plants, each for each of our citizens. https://t.co/PC8zkGdNt",0.161622,0.793811,0.044567,neutral
1477017969255276546,2021-12-31 20:45:00+00:00,1477017969255276546,Bölgenin kalkınmasına büyük katkı sunacağına inandığımız Kars Lojistik Merkezi faaliyetlerine başladı. https://t.co/9p9UK8ft0A,10545,30273,426,80,https://twitter.com/RTErdogan/status/1477017969255276546/photo/1,tr,False,,RTErdogan,"The Kars Logistics Center, which we believe will contribute greatly to the development of the region, has begun. https://t.co/9p9UK8ft0A",0.880152,0.118485,0.001363,positive
1477016711043768320,2021-12-31 20:40:00+00:00,1477016711043768320,Son 20 yılda çağ atladığımız demir yolu ulaşımından istifade eden yolcu sayısını 134 milyon 743 bine yükselttik. https://t.co/39uPoRFr5V,11434,34291,504,110,https://twitter.com/RTErdogan/status/1477016711043768320/photo/1,tr,False,,RTErdogan,"In the last 20 years, we've increased the number of passengers who have taken advantage of the railway transport we've missed to 134 million 743. https://t.co/39uPoRFr5V",0.133822,0.60335,0.262827,neutral
1477015452907941897,2021-12-31 20:35:00+00:00,1477015452907941897,Karadeniz’in yeni lojistik üssü Filyos Limanı’nı tamamlayarak 150 yıllık hayali gerçekleştirdik. https://t.co/9bNRnpfh2O,11031,32621,434,97,https://twitter.com/RTErdogan/status/1477015452907941897/photo/1,tr,False,,RTErdogan,"By completing the new logistical base of the Black Sea, the Port of Filyos, we have achieved a 150-year dream. https://t.co/9bNRnph2O",0.811854,0.184703,0.003443,positive
1477014195900194817,2021-12-31 20:30:00+00:00,1477014195900194817,Uçuş ağımızı salgının olumsuz etkilerine rağmen 128 ülkede 335 noktaya yükselttik. https://t.co/RkkPNfBERY,11088,32735,469,109,https://twitter.com/RTErdogan/status/1477014195900194817/photo/1,tr,False,,RTErdogan,"Despite the negative effects of the outbreak, we've upgraded our flight network to 335 points in 128 countries. https://t.co/RkpNfBERY",0.61484,0.369304,0.015856,positive
1477012936216305666,2021-12-31 20:25:00+00:00,1477012936216305666,Bölünmüş yol ağımızı yeni ilavelerle 28 bin 473 kilometreye ulaştırdık. https://t.co/c2EtU9lIsh,11062,33331,593,113,https://twitter.com/RTErdogan/status/1477012936216305666/photo/1,tr,False,,RTErdogan,"With new additions to our divided road network, we have reached 28, 473 kilometers. https://t.co/c2EtU9lish",0.521886,0.474741,0.003374,positive
1477011677975654405,2021-12-31 20:20:00+00:00,1477011677975654405,"Dağları deldik… Ulaşım ağımız üzerindeki 23 tüneli tamamlayıp hizmete açarak yollarımızı kısalttık, yakıttan ve zamandan büyük tasarruf sağladık… https://t.co/E9vzXbT88N",11963,36220,642,152,https://twitter.com/RTErdogan/status/1477011677975654405/photo/1,tr,False,,RTErdogan,"We've drilled through the mountains... we've completed 23 tunnels on our transportation networks, cut our roads short, saved more than fuel and time... https://t.co/E9vzXbt88N",0.772675,0.205285,0.022041,positive
1477010419592187906,2021-12-31 20:15:00+00:00,1477010419592187906,"Aralarında Hasankeyf-2, Zarova, Kömürhan, Devegeçidi ve Tohma gibi eserlerin de olduğu toplam 146 köprü inşa ettik, dağları, tepeleri aştık, gönülleri birleştirdik. https://t.co/1QlYuB8yEK",11626,33804,509,120,https://twitter.com/RTErdogan/status/1477010419592187906/photo/1,tr,False,,RTErdogan,"We built 146 bridges, including the works of Hasankeyf-2, Zarova, Charkhan, Devevidit and Tohma. We crossed mountains, hills, united hearts. https://t.co/1QlYUBYEK",0.635738,0.357366,0.006896,positive
1477009161309229059,2021-12-31 20:10:00+00:00,1477009161309229059,"100 radyonun aynı anda yayın yapabildiği Çamlıca TV ve Radyo Kulesi’ni tamamladık, İstanbul’un silüetini bozan görüntü kirliliğini ortadan kaldırdık. https://t.co/WqjF5SfvPJ",11285,32903,447,118,https://twitter.com/RTErdogan/status/1477009161309229059/photo/1,tr,False,,RTErdogan,"We've completed Pinelıca TV and Radio Tower, where 100 radios can broadcast at the same time, and we've eliminated the image pollution that disrupts Istanbul's image. https://t.co/WqjF5SfvPJ",0.481989,0.456754,0.061257,positive
1477007903403888640,2021-12-31 20:05:00+00:00,1477007903403888640,TÜRKSAT 5A ve TÜRKSAT 5B uydularımızı Space X’in Falcon 9 roketi ile uzaya fırlattık. https://t.co/OXX3UTGnWy,11504,33585,521,152,https://twitter.com/RTErdogan/status/1477007903403888640/photo/1,tr,False,,RTErdogan,We've launched our satellites into space with the Falcon 9. https://t.co/OXX3UTGnWy,0.231119,0.761808,0.007072,neutral
1477006644701589506,2021-12-31 20:00:00+00:00,1477006644701589506,2008 yılında hayata geçirdiğimiz e-Devlet Kapısı uygulamasıyla vatandaşlarımızın işlerini büyük ölçüde kolaylaştırdık. 2021’de e-Devlet Kapısı’na 3 milyarın üzerinde giriş yapıldı. https://t.co/x3Kf6oIo3l,10477,29523,344,84,https://twitter.com/RTErdogan/status/1477006644701589506/photo/1,tr,False,,RTErdogan,"In 2008, we made our citizens' jobs considerably easier by implementing the e-state gate. In 2021, more than 3 billion entrances were made to the e-state gate. https://t.co/x3Kf6lo3l",0.912794,0.083319,0.003887,positive
