id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,tweet_en,positive,neutral,negative,sentiment
1472894626273054726,2021-12-20 11:40:18+00:00,1472894626273054726,Congratulations to @gabrielboric on the clear victory in the Presidential elections in #Chile. My best wishes in your future endeavours to unite Chile and support the ongoing process to write a new #Constitution.,38,193,0,8,,en,False,,SwedishPM,Congratulations to @gabrielboric on the clear victory in the Presidential elections in #Chile. My best wishes in your future endeavours to unite Chile and support the ongoing process to write a new #Constitution.,0.817986,0.175362,0.006653,positive
1471505418266431489,2021-12-16 15:40:05+00:00,1471505418266431489,"The pandemic in focus at December EUCO. In 2022 Europe needs to speed up vaccinations, fight disinformation and safeguard global access to vaccines. No one is safe until everyone is safe. https://t.co/VT6gI6snQk",25,87,0,52,https://twitter.com/SwedishPM/status/1471505418266431489/photo/1,en,False,,SwedishPM,"The pandemic in focus at December EUCO. In 2022 Europe needs to speed up vaccinations, fight disinformation and safeguard global access to vaccines. No one is safe until everyone is safe. https://t.co/VT6gI6snQk",0.817986,0.175362,0.006653,positive
1471192314748014597,2021-12-15 18:55:55+00:00,1471192314748014597,"Timely discussion on forward looking agenda for #Eastern Partnership in challenging times. Need for strong resilience, sustainable recovery, green transition &amp; digitalisation, firmly based on our values. #EaP Summit sent clear signal of EU’s commitment to our Eastern neighbours. https://t.co/ssqvXVGeEz",19,63,0,6,https://twitter.com/SwedishPM/status/1471192314748014597/photo/1,en,False,,SwedishPM,"Timely discussion on forward looking agenda for #Eastern Partnership in challenging times. Need for strong resilience, sustainable recovery, green transition &amp; digitalisation, firmly based on our values. #EaP Summit sent clear signal of EU’s commitment to our Eastern neighbours. https://t.co/ssqvXVGeEz",0.817986,0.175362,0.006653,positive
1469371660436451338,2021-12-10 18:21:18+00:00,1469371660436451338,"By co-operating we can fight climate change, create future jobs and keep our streets safe. Thank you @vonderleyen and @charlesmichel for good discussions on how we move our union of values forward. https://t.co/ajTYw0V2vK",27,73,0,20,https://twitter.com/SwedishPM/status/1469371660436451338/photo/1,en,False,,SwedishPM,"By co-operating we can fight climate change, create future jobs and keep our streets safe. Thank you @vonderleyen and @charlesmichel for good discussions on how we move our union of values forward. https://t.co/ajTYw0V2vK",0.817986,0.175362,0.006653,positive
1469006273832181760,2021-12-09 18:09:23+00:00,1469006273832181760,"Democracy must be defended, and equality and inclusiveness must be safeguarded. Grateful to participate in president @JoeBiden great #SummitForDemocracy. Sweden is a true friend and ally in sharpening the focus of the work on democracy. https://t.co/2mloKrRjAE",24,116,2,20,https://twitter.com/SwedishPM/status/1469006273832181760/photo/1,en,False,,SwedishPM,"Democracy must be defended, and equality and inclusiveness must be safeguarded. Grateful to participate in president @JoeBiden great #SummitForDemocracy. Sweden is a true friend and ally in sharpening the focus of the work on democracy. https://t.co/2mloKrRjAE",0.817986,0.175362,0.006653,positive
1468551870570450946,2021-12-08 12:03:44+00:00,1468551870570450946,"Herzliche Glückwünsche, Herr Bundeskanzler! I look forward to continuing to strengthen the friendship and ties between our countries and visiting you in Berlin later this week. https://t.co/k3FN6N56qW",21,143,0,12,https://twitter.com/OlafScholz/status/1468517744652001283,de,False,,SwedishPM,"Congratulations, Chancellor! I look forward to continuing to strengthen the friendship and ties between our countries and visiting you in Berlin later this week. https://t.co/k3FN6N56qW",0.987749,0.011565,0.000687,positive
1466774374057402370,2021-12-03 14:20:36+00:00,1466774374057402370,"Valuable meeting with courageous opposition leader @Tsihanouskaya, after recording an episode of the TV show Skavlan together (airing tonight). Sweden stands in solidarity with the people of Belarus and their legitimate demands for democracy and human rights. https://t.co/IE0af69xVZ",77,906,0,8,https://twitter.com/SwedishPM/status/1466774374057402370/photo/1,en,False,,SwedishPM,"Valuable meeting with courageous opposition leader @Tsihanouskaya, after recording an episode of the TV show Skavlan together (airing tonight). Sweden stands in solidarity with the people of Belarus and their legitimate demands for democracy and human rights. https://t.co/IE0af69xVZ",0.817986,0.175362,0.006653,positive
1466456401744646151,2021-12-02 17:17:06+00:00,1466456401744646151,"Welcome to Stockholm, @SecBlinken! U.S. is a crucial partner to Sweden. Together, we strengthen the rules-based international order and lead the green transition creating jobs for the future. Good discussion on climate, the pandemic, democracy, technology and regional challenges. https://t.co/DSc760XfBL",40,204,0,5,https://twitter.com/SwedishPM/status/1466456401744646151/photo/1,en,False,,SwedishPM,"Welcome to Stockholm, @SecBlinken! U.S. is a crucial partner to Sweden. Together, we strengthen the rules-based international order and lead the green transition creating jobs for the future. Good discussion on climate, the pandemic, democracy, technology and regional challenges. https://t.co/DSc760XfBL",0.817986,0.175362,0.006653,positive
1466386696526827522,2021-12-02 12:40:07+00:00,1466386696526827522,"Hej! Regeringen är på plats och har tre tydliga prioriteringar att jobba med:
1. Bryta segregationen och tränga tillbaka våld och kriminalitet
2. Jobb i hela landet med snabbare klimatomställning
3. Ta tillbaka kontrollen över välfärden med bra villkor för alla medarbetare. https://t.co/xD4DPuDJ6i",30,235,9,91,https://twitter.com/SwedishPM/status/1466386696526827522/photo/1,sv,False,,SwedishPM,Hi! The government is in place and has three clear priorities to work with: 1. Break segregation and repress violence and crime 2. Jobs across the country with faster climate transition 3. Take back control of welfare with good conditions for all employees. https://t.co/xD4DPuDJ6i,0.74015,0.246794,0.013055,positive
1463435606265061379,2021-11-24 09:13:32+00:00,1463435606265061379,"I dag har riksdagen gett Magdalena Andersson förtroendet att leda Sverige. Det är historiskt och jag vill önska Magdalena all lycka! Jag vet att du kommer att arbeta stenhårt varenda dag för att ta Sverige framåt.

Det här kontot kommer att överlämnas till Magdalena Andersson. https://t.co/4jQj3Nu9dw",130,1209,0,82,https://twitter.com/SwedishPM/status/1463435606265061379/photo/1,sv,False,,SwedishPM,"Today, the Riksdag has given Magdalena Andersson the confidence to lead Sweden. It is historic and I wish Magdalena every success! I know you will work hard every day to take Sweden forward. This account will be handed over to Magdalena Andersson. https://t.co/4jQj3Nu9dw",0.914227,0.083063,0.00271,positive
1459181277043699719,2021-11-12 15:28:21+00:00,1459181277043699719,Tack Sauli för dagens möte och för det mycket goda samarbetet genom åren. Våra länder har en särskilt nära relation som fortsätter att stärkas. https://t.co/zCpAuuu7Jd,16,132,0,4,https://twitter.com/SwedishPM/status/1459181277043699719/photo/1,sv,False,,SwedishPM,Thanks Sauli for today's meeting and for the very good cooperation over the years. Our countries have a particularly close relationship that continues to be strengthened. https://t.co/zCpAuuu7Jd,0.981895,0.016947,0.001158,positive
1457755796700336138,2021-11-08 17:04:00+00:00,1457755796700336138,"Constructive talk w PM @AbiyAhmedAli on serious situation in #Ethiopia. Reiterated necessity for all parties to cease fire, engage in pol solution &amp; ensure hum access. Condemned violations of intl hum law &amp; human rights committed by all parties. Accountability must be ensured.",47,137,0,35,,en,False,,SwedishPM,"Constructive talk w PM @AbiyAhmedAli on serious situation in #Ethiopia. Reiterated necessity for all parties to cease fire, engage in pol solution &amp; ensure hum access. Condemned violations of intl hum law &amp; human rights committed by all parties. Accountability must be ensured.",0.817986,0.175362,0.006653,positive
