id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,tweet_en,positive,neutral,negative,sentiment
1476949537730088960,2021-12-31 16:13:04+00:00,1476949537730088960,"Ómicron está provocando efectos devastadores en Europa, USA y A. Latina.

Hemos tomado todas las medidas para proteger la salud y vida de nuestros compatriotas. Hoy superamos 11 MM de #DosisDeRefuerzo.

Que tenga una gran noche, cuídese y que el 2022 les traiga amor y felicidad.",237,1981,1418,139,,es,False,,sebastianpinera,"Ómicron is causing devastating effects in Europe, USA and A. Latina. We have taken all measures to protect the health and life of our compatriots. Today we exceed 11 MM of #DosisDeRefortion. Have a great night, take care and 2022 bring you love and happiness.",0.694276,0.242203,0.063521,positive
1476595083239731200,2021-12-30 16:44:36+00:00,1476595083239731200,"[VIVO] Anunciamos el envío de un nuevo proyecto de ley de Sala de Cuna y la extensión del Subsidio Protege, porque el cuidado de los niños y niñas de Chile es también un deber del Estado. Acompáñenos para conocer los detalles! https://t.co/WPLDX7LyVe",99,316,290,23,https://twitter.com/i/broadcasts/1gqGvlDeNZBxB,es,False,,sebastianpinera,"[VIVO] We announce the dispatch of a new Cot Room Bill and the extension of the Protective Subsidy, because the care of the children of Chile is also a duty of the State. Join us for details! https://t.co/WPLDX7LyVe",0.221391,0.73983,0.038778,neutral
1475591303752654848,2021-12-27 22:15:56+00:00,1475591303752654848,"El 99% de los incendios forestales son causados por humanos. Hemos dispuesto todos los recursos para combatirlos. 

Pero ningún esfuerzo es suficiente sin prevención. Necesitamos mayor colaboración y responsabilidad para evitarlos. 

Seremos inflexibles en perseguir este crimen. https://t.co/lroubHLjBh",75,361,230,19,https://twitter.com/sebastianpinera/status/1475591303752654848/photo/1,es,False,,sebastianpinera,Ninety-nine per cent of forest fires are caused by humans. We have made every effort to combat them. But no effort is sufficient without prevention. We need greater collaboration and responsibility to prevent them. We will be inflexible in prosecuting this crime. https://t.co/lroubHLjBh,0.037145,0.265716,0.697139,negative
1474187520543965189,2021-12-24 01:17:48+00:00,1474187520543965189,"La vacuna contra el Covid-19 comenzó siendo un sueño... Hoy, un año después, todo Chile siente el alivio de haberlo hecho realidad. Somos casi 17 millones de vacunados. 

Gracias por el compromiso, especialmente a quienes han trabajado y sido parte de esta misión que salva vidas.",405,4134,803,93,,es,False,,sebastianpinera,"The Covid-19 vaccine began as a dream... Today, a year later, all of Chile feels the relief of having made it happen. We are almost 17 million vaccinated. Thank you for the commitment, especially to those who have worked and been part of this mission that saves lives.",0.953004,0.043817,0.00318,positive
1474049473030639616,2021-12-23 16:09:15+00:00,1474049473030639616,"[VIVO] Hace 1 año, después de meses de pandemia y gestiones con laboratorios del mundo, llegaron las primeras vacunas a Chile. Hoy somos más de 16,5 millones más protegidos contra el Covid. 

Acompáñenos en el balance de este último año: https://t.co/T14KXk2h0X",84,353,127,7,https://twitter.com/i/broadcasts/1vOxwyQgPrdGB,es,False,,sebastianpinera,"[VIVO] One year ago, after months of pandemic and negotiations with laboratories around the world, the first vaccines arrived in Chile. Today we are more than 16.5 million more protected against Covid. Join us in the balance sheet of this last year: https://t.co/T14KXk2h0X",0.669467,0.324377,0.006155,positive
1473651248201191431,2021-12-22 13:46:51+00:00,1473651248201191431,"[VIVO] Es momento de reconocer a 163 deportistas de excelencia por sus grandes logros para Chile, fruto de años de esfuerzo, perseverancia y disciplina #PremiosChileCompite https://t.co/zMz0MyYjDb",46,182,54,1,https://twitter.com/i/broadcasts/1jMJgeMneRqKL,es,False,,sebastianpinera,"[VIVO] It is time to recognize 163 athletes of excellence for their great achievements for Chile, fruit of years of effort, perseverance and discipline #AwardsChileCompete https://t.co/zMz0MyYjDb",0.932826,0.065387,0.001787,positive
1473250100667371525,2021-12-21 11:12:50+00:00,1473250100667371525,"[VIVO] Más viviendas para Chile! Desde Lo Barnechea, anunciamos el traspaso de terrenos que traerán solución habitacional a 50 mil familias a lo largo de todo Chile para una mayor integración, mejor calidad de vida y más desarrollo.  https://t.co/L0mA9zu3ev",77,239,87,4,https://twitter.com/i/broadcasts/1YqxopnnElXKv,es,False,,sebastianpinera,"[VIVO] More housing for Chile! From Lo Barnechea, we announce the transfer of land that will bring housing solution to 50,000 families throughout Chile for greater integration, better quality of life and more development. https://t.co/L0mA9zu3ev",0.839892,0.158283,0.001825,positive
1473054958308237318,2021-12-20 22:17:24+00:00,1473054958308237318,"Hoy superamos las 10 millones de personas vacunadas con #DosisDeRefuerzo. 

Así protegemos mejor la salud y vida y creamos más y mejores oportunidades para las familias chilenas. #YoMeVacuno",86,560,152,21,,es,False,,sebastianpinera,Today we have more than 10 million people vaccinated with #DosisDeRefortion. This is how we better protect health and life and create more and better opportunities for Chilean families. #YoMeVacuno,0.875241,0.12004,0.004719,positive
1473034802710212608,2021-12-20 20:57:19+00:00,1473034802710212608,"Recibimos al Presidente electo @gabrielboric en esta casa, la casa de todos. Le deseamos el mayor éxito, y tuvimos una buena reunión de trabajo. 

Conversamos de vacunas, empleo, seguridad, pensiones (el apoyo para la PGU), y sobre todo, de la vida y el futuro. https://t.co/c6V2l7m1ij",308,3403,859,135,https://twitter.com/sebastianpinera/status/1473034802710212608/photo/1,es,False,,sebastianpinera,"We received the President-elect @gabrielboric in this house, the house of all. We wish him every success, and we had a good working meeting. We talked about vaccines, employment, security, pensions (support for the PGU), and above all, life and the future. https://t.co/c6V2l7m1ij",0.971447,0.0272,0.001353,positive
1473011986837422091,2021-12-20 19:26:39+00:00,1473011986837422091,"[VIVO] Tras mi encuentro con el Presidente electo @gabrielboric, me dirijo a ustedes desde La Moneda: https://t.co/RZEhy9EnPk",62,162,91,10,https://twitter.com/i/broadcasts/1BRJjnMOZWRJw,es,False,,sebastianpinera,"[VIVO] After my meeting with the elected President @gabrielboric, I address you from La Moneda: https://t.co/RZEhy9EnPk",0.084939,0.904545,0.010516,neutral
